number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_freq,params_first_conv_kernel_time,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,state
38,,2026-09-14 23:37:36.339480,2026-09-14 23:37:36.509280,0 days 00:00:00.169800,,,,,,0.1686591521177298,128,5,3,0.25465335438361203,64.0,7.0,3.0,0.10422027834563105,16.0,7.0,3.0,,64,3,7,,,3,,,,,,,,PRUNED
39,0.7122663561097018,2026-09-14 23:37:36.689160,2026-09-14 23:40:41.129168,0 days 00:03:04.440008,0.9211762462089519,0.923108028259328,0.0002953036283896378,0.0003004994392655018,64.0,0.1313547196192454,128,5,3,0.1796288053458804,64.0,7.0,3.0,,,,,256,64,5,7,0.594954061619303,14.0,2,Adam,,,,49.0,0.7096774193548387,0.714855292864565,COMPLETE
40,0.5991130847716919,2026-09-14 23:40:41.284410,2026-09-14 23:45:14.497932,0 days 00:04:33.213522,0.9279846357906066,0.9264419168458133,0.00032588436148161696,0.0003346010166640396,16.0,0.2021021286837173,16,5,3,0.15696349186613912,64.0,7.0,3.0,,,,,256,64,5,7,0.6121216211601866,17.0,2,Adam,,,,48.0,0.6096774193548387,0.5885487501885451,COMPLETE
41,0.31844582756272016,2026-09-14 23:45:14.651201,2026-09-14 23:45:55.218828,0 days 00:00:40.567627,0.9163359868993455,0.9666571732450828,0.0016469818351521573,0.009941138102772784,64.0,0.12579728285132388,128,5,3,0.20781990821105872,64.0,7.0,3.0,,,,,256,64,5,7,0.5563075704882213,14.0,2,Adam,,,,,,,PRUNED
42,0.3628509748750459,2026-09-14 23:45:55.367148,2026-09-14 23:46:32.318529,0 days 00:00:36.951381,0.9586536483083243,0.9402205510713818,0.009093528690607578,2.2643008841211617e-05,64.0,0.14883782707837442,128,5,3,0.2722016144790114,64.0,7.0,3.0,,,,,256,64,5,7,0.6482553764912755,14.0,2,Adam,,,,,,,PRUNED
43,0.7444256796905928,2026-09-14 23:46:32.466045,2026-09-14 23:49:36.541261,0 days 00:03:04.075216,0.8892116895604629,0.9956037879488793,0.00023846277838643573,0.0010648108239693706,64.0,0.1285734471116471,128,5,3,0.16343437001768907,64.0,7.0,3.0,,,,,256,64,5,7,0.6981190522629597,16.0,2,Adam,,,,50.0,0.7419354838709677,0.7469158755102179,COMPLETE
44,0.6687729724208049,2026-09-14 23:49:36.702078,2026-09-14 23:52:27.844413,0 days 00:02:51.142335,0.8944965261261697,0.9985276634759254,0.000222401453918422,0.0011050586290400248,64.0,0.12622760714797163,32,5,3,0.15383452807479836,64.0,7.0,3.0,,,,,256,64,5,7,0.5863618442908596,16.0,2,Adam,,,,50.0,0.6580645161290323,0.6794814287125777,COMPLETE
45,,2026-09-14 23:52:27.998429,2026-09-14 23:52:28.156291,0 days 00:00:00.157862,,,,,,0.18167899216521,32,5,2,0.1536664584677009,64.0,7.0,3.0,0.49986827850852317,128.0,5.0,3.0,,16,5,7,,,3,,,,,,,,PRUNED
46,0.3698231705555257,2026-09-14 23:52:28.333356,2026-09-14 23:53:09.497504,0 days 00:00:41.164148,0.8971086657907467,0.9993126387779039,0.00023670746339436326,0.0008845189880717421,64.0,0.48800385422440185,32,5,1,0.17141551408329758,64.0,7.0,3.0,,,,,256,64,5,3,0.6897014859244003,16.0,2,Adam,,,,,,,PRUNED
47,0.6704243482182135,2026-09-14 23:53:09.645641,2026-09-14 23:56:36.721752,0 days 00:03:27.076111,0.8936525107830137,0.9838312803487378,0.00020609460649485866,0.001423644885965516,32.0,0.12231971222269268,32,5,3,0.12124668044660229,64.0,7.0,3.0,,,,,256,64,5,7,0.5883813514290757,18.0,2,Adam,,,,40.0,0.667741935483871,0.6731067609525562,COMPLETE
48,0.6955877101682569,2026-09-14 23:56:36.889170,2026-09-15 00:00:09.499082,0 days 00:03:32.609912,0.9161301034240658,0.980429193726068,0.0006356414341441293,0.0003863053712171635,32.0,0.15894130132034495,32,7,3,0.1062904769384269,64.0,7.0,3.0,,,,,256,64,5,7,0.6329122375318491,18.0,2,Adam,,,,47.0,0.6838709677419355,0.7073044525945784,COMPLETE
49,0.5940754545176059,2026-09-15 00:00:09.653566,2026-09-15 00:02:35.013808,0 days 00:02:25.360242,0.924357048897947,0.9737644574849694,0.0008994100577216489,0.0002507438892742407,32.0,0.2404888226558583,32,7,3,0.1053365838923549,32.0,7.0,3.0,,,,,256,16,5,7,0.6396227052355279,18.0,2,Adam,,,,42.0,0.5967741935483871,0.5913767154868247,COMPLETE
